,S1,S2,S3,S4,S5,S6,W1,W2,W3,W4,W5,W6
group,sut,sut,sut,sut,sut,sut,wild-type,wild-type,wild-type,wild-type,wild-type,wild-type
Malic acid,395029.5756,283941.5862,367774.233,322159.2057,496320.5319,390544.5053,285569.6807,454228.2797,188949.5447,293393.1817,415347.5123,364691.3493
Malonic acid,17448.60187,13276.19295,19885.59264,21895.09276,22309.39003,27879.03012,9110.297076,16376.48185,11749.65115,17515.24001,13735.03748,17383.47582
Methionine,229471.9109,175560.1033,254750.2405,295379.4218,346909.4095,277654.9976,120348.0699,180168.0675,113773.4887,231537.9287,138768.4296,165434.477
2-Hydroxyisobutyric acid,23682.28092,15774.66387,19144.50071,17657.4281,31701.78009,26509.1665,13827.96237,20427.8852,10694.97627,16311.17123,22090.43118,19232.42736
Myo-Inositol,154553.5552,85767.9584,100741.4398,94298.56022,165810.6227,140129.9841,98954.92052,214672.2077,75383.89131,127949.4233,174819.1726,148835.7807
N-Acetyl-L-aspartate,787190.6628,601726.5033,891769.7711,867967.6442,962062.6562,922352.8496,490348.2458,837175.9625,481187.4359,867653.5342,676784.4962,671313.4045
N-Acetylleucine,5245.911498,6164.781027,6169.859028,5136.244727,8444.392549,5784.21183,3574.713046,5660.115266,2807.980236,5242.256531,5930.733727,5172.859509
N-Acetyl-L-alanine,135792.3314,100689.4654,122188.6547,120974.1104,187895.7711,152816.2123,85759.89254,139592.9714,65085.54999,99324.60922,133436.2576,110756.0485
2-Acetamido-2-Deoxy-D-Glucopyranose,8739.083941,6179.088793,7148.098581,9207.331588,6826.300851,5366.497124,3419.597326,4659.826365,3284.424077,4478.689617,6935.618665,7537.933978
N-acetyl-L-glutamate,166352.491,120579.8441,174560.7539,150853.8997,208926.167,169207.2615,108870.9108,167897.5641,42262.03819,162533.4131,149423.0657,158195.6449
N-Acetylglycine,38967.89288,36001.86246,33357.02101,28895.3128,48038.40189,40733.52478,30622.94786,44607.80007,16864.33606,26607.92522,45132.24627,30940.61476
N-Acetyl-Methionine,66667.52009,54236.80516,72705.59061,62556.79883,80320.05905,61109.48447,48226.09876,58962.83132,31311.44919,82981.74638,68409.61087,79651.64693
N-Acetylneuraminic acid,22738.37836,17351.66239,13515.32029,15258.44009,32765.41959,20656.98363,9725.226729,19318.09494,5625.718381,7068.996762,21226.14489,12522.94822
N-Acetyl-Tyrosine,8340.068549,6886.819773,11780.98143,5805.682771,11069.56246,8081.73172,4287.581029,8483.766941,4143.925423,7320.654749,7950.773934,7743.719967
N-carbamoyl-L-aspartate,28547.61367,2980.383406,,4190.176459,25014.27396,21264.2977,14003.39814,26191.70008,6325.494628,,31413.13075,26979.74989
Nicotinamide adenine dinucleotide,42500.88449,24390.72195,39856.35308,32436.06793,53559.38439,36979.95087,27363.09848,42448.23119,6872.551369,35551.86207,38221.00237,45108.53145
Ornithine,26037.25102,18534.69128,26661.55112,24701.00473,33185.83972,26423.40378,12247.26729,15111.86736,4274.323178,17080.57877,14277.22246,18398.67538
Orotic acid,21576.755,22746.81415,16920.57611,7321.952425,29185.66927,25034.9857,34755.37779,34443.66307,17591.79362,37969.13519,45320.08138,41070.32618
Oxaloacetate,9374.820701,7505.800784,12800.11424,11349.34621,12483.6967,11639.3751,6159.093303,11217.17082,4732.048207,10805.82468,9458.401416,9262.258512
Pantothenic acid,6843457.226,5837503.064,8977585.356,6406724.577,7788081.276,6691649.699,4590893.778,6940439.74,3832693.703,7415018.605,6936635.006,7215873.19
Pentoses (sum),39048.00276,27062.91494,40378.03086,32805.01242,42467.98755,29444.82907,19697.49833,31517.08373,16689.98977,32321.5479,35854.65771,42866.31811
Phenylalanine,46300.74888,40034.2995,50379.51736,43678.96958,63737.6148,48426.14462,24589.87423,32676.5101,21545.11378,34381.30857,34613.28934,33339.43974
Phosphoenolpyruvic acid,2456.259342,9426.91266,14126.58283,9594.54581,7496.606545,4130.008198,3436.531509,3045.049753,1645.464535,14326.22557,7784.448197,5044.808825
3-phosphoglycerate,8584.05962,12401.82831,20385.85129,13868.4294,13350.93411,7965.577071,7790.230318,7865.322932,12282.58086,16405.49299,7796.723856,11064.65893
Proline,742413.7631,506775.0743,889114.4807,687276.6347,1074114.477,716471.5084,281575.6743,394830.5653,162857.2315,392500.0661,406669.501,457923.0197
P-Serine,,405.24462,,,,,518.0528026,937.9316028,,,,
Pyridoxine,226906.8825,186183.3329,267649.2006,209908.8246,260787.2396,230443.9996,151317.4356,206809.8182,154363.9975,268962.5513,196504.3014,216790.1391
Pyroglutamic acid,200802.2228,154957.8875,189494.434,151196.1731,255284.7154,205482.7591,141893.9327,192840.5066,95768.39713,154412.6698,185872.1168,182498.5917
Pyruvic acid,356758.1772,301223.0056,402030.1842,299209.2726,350843.2224,325264.6779,250432.9691,315275.1658,194276.6379,361068.0509,264575.1057,386898.9982
Quinic acid,85741.89154,46866.22615,68396.9082,50888.50814,80643.13846,66813.21596,50006.77617,62819.97438,19755.38644,68406.02172,57388.81834,70792.14791
Ribose 5-phosphate,359655.0257,301893.6026,460248.1398,411286.9124,544964.3175,455447.8545,256882.4705,509382.2095,91489.01183,362873.1389,437969.6281,456429.9282
Ribulose 5-phosphate,118356.5992,91692.87173,147144.9977,126120.1061,179707.5727,154619.9279,85228.494,159141.9086,27451.74938,117836.9925,140303.5621,150545.5653
Sarcosine,15241.28064,11945.61666,14743.54002,11732.36182,18804.18351,16488.60588,10799.79583,14404.14316,7712.501651,10870.70132,17529.73649,13125.16615
D-Sedoheptulose 7-phosphate,33541.66147,20461.83366,32240.56528,30930.35121,41828.41728,33257.68752,19345.21637,33208.52586,10164.86313,27969.53873,26164.33658,31894.64366
Serine,153043.5288,120090.5941,157584.5549,142993.415,212306.971,166148.1336,93648.06249,147221.6851,64293.33595,106062.6951,128605.0589,126575.5643
Succinic acid,516354.6676,336876.7057,446357.8273,446508.9917,629375.2784,560810.5123,350939.8424,508377.5539,156745.8058,477178.9857,493545.9866,522669.8935
Sucrose,20410.10428,37130.06279,269224.0782,21594.64418,24961.17042,92861.95528,57702.84681,19586.64427,17966.64798,13617.55328,23988.75567,19888.43578
"Sugar alcohol (polyol, sum)",71538.67399,53654.17512,79596.54366,64531.31689,102395.8361,73854.1622,59869.28371,83918.49149,35339.05621,61489.67944,76571.41152,83803.21997
Sugar alcohol (sum),1325473.864,1025162.164,1621002.866,1076795.157,1593150.739,1084453.197,937311.2473,1457475.788,635952.2569,1330348.592,1546531.737,1537581.862
Taurine,1134674.394,1005349.526,1262037.175,1106061.957,1479007.251,1310678.037,891478.8858,1470095.042,715591.8215,1195675.645,1162964.14,1106618.379
Threonine,236927.9045,182060.7322,228588.2215,208804.9146,326019.4499,257685.619,127777.768,190480.8795,77460.58741,127142.4329,180139.3005,162503.3382
trans-4-Hydroxy-L-proline,178704.3438,127501.8651,177433.7131,163353.4753,221540.9621,180104.0058,106422.3735,169304.3624,67926.12001,172814.0952,154423.9262,170095.8209
trans-Aconitic acid,17474.63273,17335.59054,18470.25002,15725.30018,26162.91767,23085.26303,11624.94813,19952.95741,8379.881714,15710.27589,17917.02781,14048.43676
Tryptophan,87275.94998,72305.24095,101854.0875,97244.18552,120200.6604,89613.65503,41714.99311,56045.76584,40762.37791,77950.34458,56913.38583,57265.59504
Tyrosine,26510.59563,22329.71739,26835.86084,24469.64926,35450.33503,27213.73835,14801.60274,21162.23386,11556.17139,18060.98879,21238.47869,18565.50785
